course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa,catalog_text,source_url,catalog_year
JS 261,JS,261,The Holocaust in Context,3 Hours,"Same as CWL 273, ENGL 269, and GER 261. See GER 261.",,,"Humanities - Lit & Arts
Cultural Studies - Western",,,,"[JS 261 The Holocaust in Context credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/JS/261>)

Same as [CWL 273](<https://catalog.illinois.edu/search/?P=CWL%20273>), [ENGL 269](<https://catalog.illinois.edu/search/?P=ENGL%20269>), and [GER 261](<https://catalog.illinois.edu/search/?P=GER%20261>). See [GER 261](<https://catalog.illinois.edu/search/?P=GER%20261>).
This course satisfies the General Education Criteria for:
Humanities - Lit & Arts
Cultural Studies - Western",https://catalog.illinois.edu/courses-of-instruction/js/,2026–2027
JS 262,JS,262,Zionism: A Global History,3 Hours,Same as HIST 262. See HIST 262.,,,"Humanities - Hist & Phil
Cultural Studies - Western",,,,"[JS 262 Zionism: A Global History credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/JS/262>)

Same as [HIST 262](<https://catalog.illinois.edu/search/?P=HIST%20262>). See [HIST 262](<https://catalog.illinois.edu/search/?P=HIST%20262>).
This course satisfies the General Education Criteria for:
Humanities - Hist & Phil
Cultural Studies - Western",https://catalog.illinois.edu/courses-of-instruction/js/,2026–2027
JS 269,JS,269,Jewish History Since 1700,3 Hours,Same as HIST 269 and REL 269. See HIST 269.,,,"Humanities - Hist & Phil
Cultural Studies - Western",,,,"[JS 269 Jewish History Since 1700 credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/JS/269>)

Same as [HIST 269](<https://catalog.illinois.edu/search/?P=HIST%20269>) and [REL 269](<https://catalog.illinois.edu/search/?P=REL%20269>). See [HIST 269](<https://catalog.illinois.edu/search/?P=HIST%20269>).
This course satisfies the General Education Criteria for:
Humanities - Hist & Phil
Cultural Studies - Western",https://catalog.illinois.edu/courses-of-instruction/js/,2026–2027
JS 284,JS,284,Modern Jewish Literature,3 Hours,"Surveys imaginative literature by Jewish authors from the Enlightenment to the present, including fiction, poetry, drama, and autobiography written in English or translated from other languages. Same as CWL 284, ENGL 284, and REL 284. Prerequisite: Completion of the Composition I requirement.",Prerequisite: Completion of the Composition I requirement.,,,,,,"[JS 284 Modern Jewish Literature credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/JS/284>)

Surveys imaginative literature by Jewish authors from the Enlightenment to the present, including fiction, poetry, drama, and autobiography written in English or translated from other languages. Same as [CWL 284](<https://catalog.illinois.edu/search/?P=CWL%20284>), [ENGL 284](<https://catalog.illinois.edu/search/?P=ENGL%20284>), and [REL 284](<https://catalog.illinois.edu/search/?P=REL%20284>). Prerequisite: Completion of the Composition I requirement.",https://catalog.illinois.edu/courses-of-instruction/js/,2026–2027
JS 290,JS,290,Jewish Cultures of the World,3 Hours,Same as ANTH 290. See ANTH 290.,,,,,,,"[JS 290 Jewish Cultures of the World credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/JS/290>)

Same as [ANTH 290](<https://catalog.illinois.edu/search/?P=ANTH%20290>). See [ANTH 290](<https://catalog.illinois.edu/search/?P=ANTH%20290>).",https://catalog.illinois.edu/courses-of-instruction/js/,2026–2027
JS 300,JS,300,Jewish Chicago,3 Hours,"The history of Jewish Chicago from 1820 to the present will be taught in Chicago during Summer I. The class includes excursions all over the city as well as class time at the Newberry Library. Topics of study include immigration, Jews in the labor movement, Jewish political activism, Jewish religious practice, Jewish art, literature, and Yiddish theater. The course will contextualize our study of Jewish Chicago in terms of American history, urban history, gender history, and labor history.",,,,,,,"[JS 300 Jewish Chicago credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/JS/300>)

The history of Jewish Chicago from 1820 to the present will be taught in Chicago during Summer I. The class includes excursions all over the city as well as class time at the Newberry Library. Topics of study include immigration, Jews in the labor movement, Jewish political activism, Jewish religious practice, Jewish art, literature, and Yiddish theater. The course will contextualize our study of Jewish Chicago in terms of American history, urban history, gender history, and labor history.",https://catalog.illinois.edu/courses-of-instruction/js/,2026–2027
JS 320,JS,320,Responses to the Holocaust,3 Hours,"Same as CWL 320, ENGL 359, REL 320, and YDSH 320. See CWL 320.",,,,,,,"[JS 320 Responses to the Holocaust credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/JS/320>)

Same as [CWL 320](<https://catalog.illinois.edu/search/?P=CWL%20320>), [ENGL 359](<https://catalog.illinois.edu/search/?P=ENGL%20359>), [REL 320](<https://catalog.illinois.edu/search/?P=REL%20320>), and [YDSH 320](<https://catalog.illinois.edu/search/?P=YDSH%20320>). See [CWL 320](<https://catalog.illinois.edu/search/?P=CWL%20320>).",https://catalog.illinois.edu/courses-of-instruction/js/,2026–2027
JS 335,JS,335,Middle East 1566-1914,3 Hours,Same as HIST 335. See HIST 335.,,,,,,,"[JS 335 Middle East 1566-1914 credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/JS/335>)

Same as [HIST 335](<https://catalog.illinois.edu/search/?P=HIST%20335>). See [HIST 335](<https://catalog.illinois.edu/search/?P=HIST%20335>).",https://catalog.illinois.edu/courses-of-instruction/js/,2026–2027
JS 344,JS,344,Jewish Intellectual History: Encounters with Islam and Christianity,3 Hours,Same as MDVL 344 and REL 344. See REL 344.,,,,,,,"[JS 344 Jewish Intellectual History: Encounters with Islam and Christianity credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/JS/344>)

Same as [MDVL 344](<https://catalog.illinois.edu/search/?P=MDVL%20344>) and [REL 344](<https://catalog.illinois.edu/search/?P=REL%20344>). See [REL 344](<https://catalog.illinois.edu/search/?P=REL%20344>).",https://catalog.illinois.edu/courses-of-instruction/js/,2026–2027
JS 355,JS,355,Soviet Jewish History,3 Hours,Same as HIST 355. See HIST 355.,,,,,,,"[JS 355 Soviet Jewish History credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/JS/355>)

Same as [HIST 355](<https://catalog.illinois.edu/search/?P=HIST%20355>). See [HIST 355](<https://catalog.illinois.edu/search/?P=HIST%20355>).",https://catalog.illinois.edu/courses-of-instruction/js/,2026–2027
JS 399,JS,399,Special Topics,3 Hours,Faculty offer special topics in their areas of expertise that provide an opportunity for undergraduates to be exposed to some of the most current developments in faculty research. May be repeated in the same or separate term to a maximum of 9 hours.,,,,,,,"[JS 399 Special Topics credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/JS/399>)

Faculty offer special topics in their areas of expertise that provide an opportunity for undergraduates to be exposed to some of the most current developments in faculty research. May be repeated in the same or separate term to a maximum of 9 hours.",https://catalog.illinois.edu/courses-of-instruction/js/,2026–2027
JS 442,JS,442,History of Early Judaism,3 or 4 Hours,Same as HIST 432 and REL 442. See REL 442.,,,,,,,"[JS 442 History of Early Judaism credit: 3 or 4 Hours.](<https://courses.illinois.edu/schedule/terms/JS/442>)

Same as [HIST 432](<https://catalog.illinois.edu/search/?P=HIST%20432>) and [REL 442](<https://catalog.illinois.edu/search/?P=REL%20442>). See [REL 442](<https://catalog.illinois.edu/search/?P=REL%20442>).",https://catalog.illinois.edu/courses-of-instruction/js/,2026–2027
JS 495,JS,495,Independent Study,"2 to 4 Hours
2 to 4 undergraduate hours. 2 to 4 graduate hours.",Readings in selected fields in consultation with the instructor along with the completion of a specified writing assignment. 2 to 4 undergraduate hours. 2 to 4 graduate hours. May be repeated in the same term to a maximum of 4 undergraduate hours or 8 graduate hours. May be repeated in separate terms to a maximum of 8 undergraduate hours and 16 graduate hours. Prerequisite: Consent of instructor.,Prerequisite: Consent of instructor.,,,,,,"[JS 495 Independent Study credit: 2 to 4 Hours.](<https://courses.illinois.edu/schedule/terms/JS/495>)

Readings in selected fields in consultation with the instructor along with the completion of a specified writing assignment. 2 to 4 undergraduate hours. 2 to 4 graduate hours. May be repeated in the same term to a maximum of 4 undergraduate hours or 8 graduate hours. May be repeated in separate terms to a maximum of 8 undergraduate hours and 16 graduate hours. Prerequisite: Consent of instructor.",https://catalog.illinois.edu/courses-of-instruction/js/,2026–2027
JS 496,JS,496,Topics in History of Judaism,3 or 4 Hours,Same as REL 496. See REL 496.,,,,,,,"[JS 496 Topics in History of Judaism credit: 3 or 4 Hours.](<https://courses.illinois.edu/schedule/terms/JS/496>)

Same as [REL 496](<https://catalog.illinois.edu/search/?P=REL%20496>). See [REL 496](<https://catalog.illinois.edu/search/?P=REL%20496>).",https://catalog.illinois.edu/courses-of-instruction/js/,2026–2027
JS 501,JS,501,Grad Intro to Jewish Culture,4 Hours,"Interdisciplinary graduate-level introduction to the study of Jewish culture and society. Focuses on the significations of Jewishness in modern history through a wide range of recent writings by historians, anthropologists, philosophers and cultural theorists. Key themes will include the relationship of Judaism to the other monotheistic religions, the varied pathways of Jewish modernization, the construction of Jewish Otherness in Europe and beyond, and responses to the Holocaust and the creation of the state of Israel.",,,,,,,"[JS 501 Grad Intro to Jewish Culture credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/JS/501>)

Interdisciplinary graduate-level introduction to the study of Jewish culture and society. Focuses on the significations of Jewishness in modern history through a wide range of recent writings by historians, anthropologists, philosophers and cultural theorists. Key themes will include the relationship of Judaism to the other monotheistic religions, the varied pathways of Jewish modernization, the construction of Jewish Otherness in Europe and beyond, and responses to the Holocaust and the creation of the state of Israel.",https://catalog.illinois.edu/courses-of-instruction/js/,2026–2027
JS 502,JS,502,Holocaust Genocide Studies,4 Hours,"Interdisciplinary graduate-level introduction to Holocaust, Genocide, and Memory Studies, focusing on the origins and unfolding of genocidal violence and the legacies of genocide in collective memory, literature, and artistic representation. Key themes will include the relationship between perpetrators, victims, and bystanders; the problems of historical comparison; trauma and testimony; violence and representation.",,,,,,,"[JS 502 Holocaust Genocide Studies credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/JS/502>)

Interdisciplinary graduate-level introduction to Holocaust, Genocide, and Memory Studies, focusing on the origins and unfolding of genocidal violence and the legacies of genocide in collective memory, literature, and artistic representation. Key themes will include the relationship between perpetrators, victims, and bystanders; the problems of historical comparison; trauma and testimony; violence and representation.",https://catalog.illinois.edu/courses-of-instruction/js/,2026–2027
JS 551,JS,551,Seminar in Jewish Culture,4 Hours,Analysis of selected topics of special interest in Jewish Studies. May be repeated in the same term to a maximum of 8 hours. May be repeated in separate terms to a maximum of 16 hours. Prerequisite: Consent of instructor.,Prerequisite: Consent of instructor.,,,,,,"[JS 551 Seminar in Jewish Culture credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/JS/551>)

Analysis of selected topics of special interest in Jewish Studies. May be repeated in the same term to a maximum of 8 hours. May be repeated in separate terms to a maximum of 16 hours. Prerequisite: Consent of instructor.",https://catalog.illinois.edu/courses-of-instruction/js/,2026–2027
JS 552,JS,552,Seminar Holocaust & Genocide,4 Hours,"Analysis of selected topics of special interest in Holocaust, Genocide, Memory Studies. May be repeated in the same term to a maximum of 8 hours. May be repeated in separate terms to a maximum of 16 hours. Prerequisite: Consent of instructor.",Prerequisite: Consent of instructor.,,,,,,"[JS 552 Seminar Holocaust & Genocide credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/JS/552>)

Analysis of selected topics of special interest in Holocaust, Genocide, Memory Studies. May be repeated in the same term to a maximum of 8 hours. May be repeated in separate terms to a maximum of 16 hours. Prerequisite: Consent of instructor.",https://catalog.illinois.edu/courses-of-instruction/js/,2026–2027
